B0;B1;B2;B3;B4;B5;B6;B7;B8;B9;B10;B11;B12;B13;B14;B15;B16;B17;B18;B19;B20;B21;B22;B23;B24;B25;B26;B27;B28;B29;B30;B31;B32;B33;B34;B35;B36;B37;B38;B39;B40;B41;B42;B43;B44;B45;B46;B47;B48;B49;_res;hour
0.00011952209077829346;3.0428353303347672e-05;4.5471022505420506e-05;6.997792161581018e-05;0.00011106623128982014;6.46180233679125e-05;8.167202758975154e-05;3.812506237471343e-05;8.745959217224775e-05;0.0001299537801617295;3.706001349196945e-05;7.765531958720414e-05;5.4860555464112335e-05;0.00012853890326342584;5.757143370734087e-05;6.635173977322783e-05;7.201472173419252e-05;8.499157229323061e-05;4.42772994741722e-05;8.405020563317886e-05;4.5487505790633545e-05;6.243904567297607e-05;5.8723509145782074e-05;0.00010567055688257794;4.594097914674728e-05;7.946472823992334e-05;5.658896963305842e-05;4.441265583974529e-05;5.7867693290283343e-05;7.089534940146027e-05;8.066770601726945e-05;0.00014732525234206317;7.252819246426295e-05;6.853034663270405e-05;3.366899899894537e-05;7.27130885494179e-05;0.00012707921073998318;3.9579863379771344e-05;4.190758049496044e-05;0.00011073707024555009;0.00012431927463379697;6.418111234641096e-05;4.802204285090937e-05;7.378253937061908e-05;0.00013233501280682746;0.00010491296954525945;9.300833554573015e-05;4.3830027810066626e-05;5.895191368373268e-05;2.7513658818865272e-05;0.003678751059901435;5895
0.00012170087889143945;3.389380465178449e-05;5.078421263512996e-05;7.800817491598511e-05;0.00012390453221848216;7.212768554310234e-05;9.092217436096648e-05;4.240877724827674e-05;9.742026794742041e-05;0.00013163711928299541;4.113139525587595e-05;8.668012699869005e-05;6.11560290419613e-05;0.00013088206035416538;6.412818032401025e-05;7.396587384556545e-05;8.02787061954933e-05;9.469813068883633e-05;4.945100566273037e-05;9.356970406124607e-05;5.069696874430946e-05;6.969547530524086e-05;6.537451432527673e-05;0.00010676275902089917;5.118772049776856e-05;8.858363148057028e-05;6.308278582045857e-05;4.953719305202358e-05;6.445818058167673e-05;7.917931685869611e-05;8.999219891711511e-05;0.00014923361053302255;8.085109979622754e-05;7.633519166587312e-05;3.755388349882368e-05;8.116352857002593e-05;0.00014176847434702427;4.408757004246753e-05;4.671664710913623e-05;0.00012360651354435728;0.0001387671903344815;7.158662530945836e-05;5.346100350529413e-05;8.213912532143505e-05;0.00013370281655676882;0.00010682544555259491;0.00010381741237942313;4.879420223054378e-05;6.584031664134275e-05;3.068831175950357e-05;0.004014238553425996;5896
0.00012792598778614222;3.6260454353155985e-05;5.424396434749892e-05;8.336167711610173e-05;0.00013226435607900625;7.701769812229572e-05;9.723934776569864e-05;4.540737765977105e-05;0.00010422268067192859;0.00013803380794380593;4.405443857355242e-05;9.255674577826224e-05;6.535301142719392e-05;0.00013757679489913549;6.860595850124788e-05;7.904196322712384e-05;8.57880291696938e-05;0.00010132699983705488;5.281993062272173e-05;0.0001000708249389505;5.425465076145399e-05;7.44205922750877e-05;6.9916664203956e-05;0.00011140461810876435;5.477086093261236e-05;9.466290030766823e-05;6.741199661205866e-05;5.295355119354246e-05;6.8959001170921e-05;8.457352822619853e-05;9.606396173561926e-05;0.00015648537165866813;8.639970468420393e-05;8.166532973730568e-05;4.014380649874256e-05;8.666614067646837e-05;0.0001513335762306789;4.71660038608942e-05;4.992269151858675e-05;0.00013198661615753405;0.00014817513544190396;7.652363395148999e-05;5.717541565950811e-05;8.784606206833376e-05;0.00013951598249401962;0.0001122896627164105;0.00011085588101531621;5.2184370127455005e-05;7.032578833467024e-05;3.280474705326244e-05;0.004272030294233677;5897
0.0001388199283518721;3.8373534443666236e-05;5.412040178634289e-05;8.450885615898389e-05;0.00012838300928662004;7.579519497749737e-05;0.00010152600114748117;4.9476906789656186e-05;0.00011029626346166801;0.00014948051396841425;4.864779235847258e-05;9.10875910833692e-05;6.625236479545807e-05;0.00014929258035283313;7.260397473092433e-05;8.012969666602923e-05;8.696859837845108e-05;0.00010795586898527343;5.2699611874150615e-05;0.00010448229982024995;5.819351299472113e-05;7.323931303262598e-05;7.299883733591693e-05;0.00012068833628449471;5.835400136745616e-05;9.596560077061782e-05;6.833968463883012e-05;5.4417704682764836e-05;7.297759098274624e-05;8.438087782021631e-05;9.324492899845662e-05;0.00016946220735719185;8.758869144591318e-05;8.642438158679902e-05;4.125377349870779e-05;8.529048764985776e-05;0.00014689263607041065;4.9914605484489434e-05;5.060970103489759e-05;0.00012989159050423986;0.00014582314916504834;7.863949479807497e-05;5.969590962129616e-05;9.17186262894436e-05;0.00015114231436852128;0.0001218520427530878;0.00010909626385634294;5.448484120035905e-05;7.01655929170514e-05;3.371179075058767e-05;0.004407359478678581;5898
0.00014815759169392627;4.3275880253650036e-05;6.190484313917303e-05;9.617184309495223e-05;0.000147789743248551;8.697236658708223e-05;0.00011483718796459537;5.5367014740805744e-05;0.0001243869755338635;0.0001592438808717566;5.4285090185420044e-05;0.00010451986257953423;7.539579070614344e-05;0.0001593346821702883;8.18793723837737e-05;9.118831996156719e-05;9.897105200081647e-05;0.0001214503526084326;6.0279693034131185e-05;0.00011818109024112716;6.543593710105105e-05;8.403958039227589e-05;8.256979600884826e-05;0.00012860680178732354;6.564825153838817e-05;0.00010920972214393835;7.777117957767318e-05;6.17384721288767e-05;8.230071934618077e-05;9.651785339709673e-05;0.00010734009268426983;0.00018053068486475617;9.967672352329031e-05;9.746538187762356e-05;4.680360849853395e-05;9.786788675029761e-05;0.00016909733687175182;5.629136125123037e-05;5.759429778405765e-05;0.0001490461107629296;0.00016732702369629972;8.921879903099985e-05;6.752270666053278e-05;0.00010374395729183733;0.0001610588915555962;0.0001300483684988112;0.00012518419216695571;6.162840926885057e-05;8.025790422703824e-05;3.824700923721381e-05;0.004943381692924119;5899
0.00015656148870177503;4.3783019475372484e-05;6.28933436284213e-05;9.789261165927544e-05;0.0001507753946273096;8.85441563446801e-05;0.00011641648131577842;5.600957197184024e-05;0.00012584463540340094;0.00016833391212659263;5.48070622064337e-05;0.00010640877575868245;7.674482075853966e-05;0.0001683725738059979;8.283889627889603e-05;9.281992011992526e-05;0.00010074190581395236;0.00012287082456876515;6.124224302270014e-05;0.00011980637046055326;6.607123746125542e-05;8.555836798972666e-05;8.370533347851809e-05;0.00013570611568641146;6.641606734585472e-05;0.0001111637728383627;7.916271161783035e-05;6.271457445502494e-05;8.326518090101882e-05;9.805905664495456e-05;0.00010950857940516417;0.00019083581909593676;0.00010146020366585417;9.860755432150195e-05;4.754358649851077e-05;9.963658349879697e-05;0.00017251344468734278;5.695102564089322e-05;5.862481205852389e-05;0.00015173971517430784;0.00017035100605225693;9.062937292872317e-05;6.845130969908627e-05;0.000105170691478562;0.00016994961593021508;0.00013742506166996223;0.00012744655708563565;6.247595124307838e-05;8.153946756798896e-05;3.885170503543063e-05;0.0050652424892056215;5900
0.00015344893425442365;3.735925600022132e-05;5.436752690865495e-05;8.431765965183686e-05;0.00013107009552750282;7.684305481589593e-05;9.949548112453154e-05;4.744214222471362e-05;0.00010738094372259309;0.00016631390518107348;4.624672106180977e-05;9.234686653613465e-05;6.610247256741405e-05;0.00016502520653351285;7.068492694067964e-05;7.9948407759545e-05;8.677183684365819e-05;0.00010464143441116416;5.2940249371292846e-05;0.00010239265382384494;5.616055184206712e-05;7.425183809759315e-05;7.15388605891986e-05;0.00013516001461725085;5.6562431150034265e-05;9.574848402679288e-05;6.818506996770154e-05;5.380764072892218e-05;7.104866787307012e-05;8.476617863218075e-05;9.519656704726154e-05;0.0001885457892667855;8.73905269856283e-05;8.414003669904222e-05;4.0791287248722275e-05;8.646961881552398e-05;0.00014996713310444252;4.8595276705163724e-05;5.0495199448845775e-05;0.000131687326778492;0.00014783913740235315;7.77578861119979e-05;5.850199142887024e-05;8.988425376365472e-05;0.00016926571405524442;0.00013469295308805445;0.00011060450713546287;5.339514437635187e-05;7.048598375228906e-05;3.333385587670215e-05;0.0045014097018762035;5901
0.00012979352045455308;2.6286716325947576e-05;4.0034269814555006e-05;6.118288228704714e-05;9.852649549903399e-05;5.7108361192722666e-05;7.084258746735353e-05;3.255623303908113e-05;7.555536990435848e-05;0.0001414004861863378;3.142271566502199e-05;6.863051217571826e-05;4.7965512974087286e-05;0.0001395852152626265;4.973532189717503e-05;5.8012450074953285e-05;6.296369113372023e-05;7.315430595712607e-05;3.8983274537042916e-05;7.290542698568552e-05;3.900744211654888e-05;5.5182616040711276e-05;5.093696649661759e-05;0.00011577342666204923;3.954251408452621e-05;6.947735802397669e-05;4.947669476114397e-05;3.867805467362433e-05;4.9991257259105894e-05;6.24187315382422e-05;7.156006178951322e-05;0.0001603020880405869;6.341262729115886e-05;5.920260500769712e-05;2.9321628249081545e-05;6.426264852880987e-05;0.00011273155791450121;3.4192604197524695e-05;3.664050753657743e-05;9.786762694674292e-05;0.00010987135893311246;5.589399069728647e-05;4.16544791579711e-05;6.399921923307842e-05;0.00014498719749378512;0.00011392892786555519;8.219925871203719e-05;3.8018311415361645e-05;5.190331530850377e-05;2.3961071004341458e-05;0.0034030414958139206;5902
9.804546509156886e-05;1.2255864524959481e-05;1.6680945756064588e-05;2.619392147914206e-05;3.851490278598602e-05;2.3052916444768782e-05;3.2262707031310686e-05;1.6171023647701484e-05;3.522678018048868e-05;0.0001023470185729683;1.607673824722055e-05;2.7704059960840398e-05;2.053523524203112e-05;0.00010544206908327901;2.3188494132123408e-05;2.4836580188339376e-05;2.695633026662397e-05;3.480156302814735e-05;1.6243031057101217e-05;3.3202153053990534e-05;1.8804890662049625e-05;2.2275551429277948e-05;2.319740830896916e-05;8.000380663202929e-05;1.8811487282929945e-05;2.974499390401502e-05;2.118220994461476e-05;1.7081790707594342e-05;2.3307820908586353e-05;2.6007804807600917e-05;2.7973478699536985e-05;0.00011602817801032955;2.7148531059027382e-05;2.7602500727061358e-05;1.2949614999594374e-05;2.5940885644657196e-05;4.40677908211232e-05;1.594188941685235e-05;1.5686717289097214e-05;3.95061980335476e-05;4.435174122070595e-05;2.4685043210158062e-05;1.8970033501878558e-05;2.9146141243089854e-05;0.00010019162468320527;8.606142033009564e-05;3.3181352140638866e-05;1.731407175922521e-05;2.162638137854324e-05;1.0582176468794336e-05;0.0017491113349994854;5903
6.337780713795952e-05;7.229173648590379e-06;1.019978906975378e-05;1.5927407422449946e-05;2.4188218623273222e-05;1.4283112117130086e-05;1.913084629542891e-05;9.314102372514053e-06;2.077866563283642e-05;6.659194582052314e-05;9.153376652537405e-06;1.7164864821698995e-05;1.2486601461187359e-05;6.815906388272231e-05;1.367783157108563e-05;1.510206602531919e-05;1.6390995716793347e-05;2.022936738197431e-05;9.9320202258711e-06;1.9687910445231907e-05;1.0959537902082803e-05;1.3801472767992129e-05;1.3755387989622316e-05;5.2377886063315686e-05;1.0934695287678456e-05;1.8086663238445903e-05;1.287999920761771e-05;1.0255548362041514e-05;1.374821697606627e-05;1.5902822722651295e-05;1.7567969006637984e-05;7.549357325156708e-05;1.6507864828200152e-05;1.6281452074220644e-05;7.774676857451176e-06;1.6072438338463137e-05;2.7675556252834313e-05;9.403391057917383e-06;9.538424308983012e-06;2.447722643625641e-05;2.7479425172212164e-05;1.4820381469040564e-05;1.1248677762574974e-05;1.7282813487574884e-05;6.559469759098266e-05;5.563117166720141e-05;2.0558482218863255e-05;1.0266740644308156e-05;1.3223742324262129e-05;6.353316488249018e-06;0.0010889594180801955;5904
