NWG_G1;0.48
NWG_G2;0.48
NWG_1;0.48
NWG_2;0.54
NWG_3;0.43
NWG_4;0.54
NWG_5;0.48
NWG_6;0.68
NWG_7;0.48
NWG_8;0.48
NWG_9;0.48
NWG_10;0.48
NWG_11;0.48
SFH;0.71
MFH;0.59
TH;0.71
AB;0.59
HR;0.59
